# dcut planecut  dE[eV]  Strainx100  icrit  rc[A]  yc[A]  nbatminx yboxlen[A] dErlx2[eV] ycrlx[A] rcut2[A] nu50Krlx2[/s] nu300Krlx2[/s] nu1000Krlx2[/s] {lognu50Krlx2} {lognu300Krlx2} {lognu1000Krlx2}
0.25 18 1.111000 111 14 8.2703 -39.81942234280001 3 73.0536058848 1.111000 16 8.2703 1.275262453405329e-97 2.663919035497429e-04 3.092502247250097e+09 -9.689440042673125e+01 -3.574478978815189e+00 9.490310023893063e+00
0.25 20 0.991000 111 14 8.3962 -55.21168020800000 1 73.0653562093 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 22 0.980000 111 14 8.2734 -56.31490439050000 2 73.0632804404 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 24 0.980000 111 14 8.2077 -57.41436200830000 1 73.0574601416 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 26 0.977000 111 14 7.3073 -57.39802430000000 9 73.0562438112 0.977000 8 7.3073 1.501454511808471e-84 1.741508304661231e-02 5.369618383484931e+09 -8.382348782068766e+01 -1.759074450198023e+00 9.729943421670528e+00
0.25 28 0.978000 111 14 7.3064 -57.39832855440001 9 73.0561487094 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 30 0.974000 111 14 7.3062 -57.39860661149999 9 73.0563208056 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 32 0.802000 111 13 7.4513 -68.36488892810000 4 73.0640584059 0.802000 2 7.4513 1.764955932234653e-67 4.090625044883336e+00 1.103818035809983e+10 -6.675326613369046e+01 6.117896729960349e-01 1.004289748593214e+01
0.25 34 0.804000 111 13 7.4768 -68.36695065620000 4 73.0642490903 0.804000 2 7.4768 1.126278045370461e-67 3.843209710289370e+00 1.094764908327480e+10 -6.694835438154186e+01 5.846940830166723e-01 1.003932086805487e+01
 
0.5 0 1.123000 111 14 9.0633 -3.49716283940000000000 2 73.0534626397 1.123000 2 9.0633 8.611327100071631e-99 1.832092856264983e-04 2.943406988135971e+09 -9.806492991383965e+01 -3.737052518691353e+00 9.468850316629409e+00
0.5 2 1.123000 111 14 9.0633 -3.49743531520000000000 2 73.0531561679 1.123000 2 9.0633 8.611327100071631e-99 1.832092856264983e-04 2.943406988135971e+09 -9.806492991383965e+01 -3.737052518691353e+00 9.468850316629409e+00
0.5 4 1.119000 111 14 9.0635 -3.49745391460000000000 2 73.0529225507 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 6 1.030000 111 13 8.3164 -18.94678644080000000000 2 73.0573748983 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 8 1.028000 111 14 8.3141 -20.04339713790000000000 3 73.0569553274 1.5 10 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 10 1.024000 111 14 8.3011 -21.14755892870000000000 2 73.0566309872 1.024000 10 8.3011 3.907854224797940e-89 4.019566196698799e-03 4.424792420730499e+09 -8.840806164519550e+01 -2.395820814713000e+00 9.645892901554550e+00
0.5 12 1.027000 111 14 8.4376 -22.24568454080000000000 1 73.0572089462 1.5 10 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 14 1.040000 111 14 8.3465 -24.44661218970000000000 3 73.0607355605 1.5 12 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 16 1.090000 111 14 8.3536 -33.23348156810000000000 3 73.0545625887 1.090000 16 8.3536 1.425693520121666e-95 5.128905720810970e-04 3.371821003484519e+09 -9.484597382429159e+01 -3.289975284031902e+00 9.527864511604456e+00
0.5 18 1.090000 111 14 8.3536 -39.82108102060000 3 73.0545625887 1.090000 16 8.3536 1.425693520121666e-95 5.128905720810970e-04 3.371821003484519e+09 -9.484597382429159e+01 -3.289975284031902e+00 9.527864511604456e+00
0.5 20 1.040000 111 14 8.3465 -48.61412337080000 3 73.0607355605 1.5 12 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 22 1.027000 111 14 8.4376 -50.81152440540001 1 73.0572089462 1.5 10 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 24 1.024000 111 14 8.3011 -51.90907205849999 2 73.0566309872 1.024000 10 8.3011 3.907854224797940e-89 4.019566196698799e-03 4.424792420730499e+09 -8.840806164519550e+01 -2.395820814713000e+00 9.645892901554550e+00
0.5 26 1.028000 111 14 8.3141 -53.01355818950000 3 73.0569553274 1.5 10 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 28 1.030000 111 13 8.3164 -54.11058845750000 2 73.0573748983 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 30 1.119000 111 14 9.0635 -69.55546863610000 2 73.0529225507 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.5 32 1.123000 111 14 9.0633 -69.55572085270001 2 73.0531561679 1.123000 2 9.0633 8.611327100071631e-99 1.832092856264983e-04 2.943406988135971e+09 -9.806492991383965e+01 -3.737052518691353e+00 9.468850316629409e+00
0.5 34 1.123000 111 14 9.0633 -69.55629980030000 2 73.0534626397 1.123000 2 9.0633 8.611327100071631e-99 1.832092856264983e-04 2.943406988135971e+09 -9.806492991383965e+01 -3.737052518691353e+00 9.468850316629409e+00
 
0.75 0 0.842000 111 14 12.422 -2.42336959380000000000 1 73.0553227517 0.842000 2 12.422 2.212936281984750e-71 1.174567212127037e+00 9.361924370319304e+09 -7.065503109071838e+01 6.987787340882200e-02 9.971365128386632e+00
0.75 2 0.841000 111 14 12.422 -2.42366807210000000000 1 73.0550034087 0.841000 2 12.422 2.770212172174362e-71 1.211785268114197e+00 9.400553758138569e+09 -7.055748696679269e+01 8.342566839850177e-02 9.973153437325269e+00
0.75 4 0.817000 111 14 12.423 -2.42350039920000000000 1 73.0548376550 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 6 0.855000 111 13 6.5255 -10.22391895840000000000 4 73.0547535795 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 8 0.849000 111 14 6.8329 -11.32558532240000000000 5 73.0556841448 1.5 6 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 10 0.851000 111 15 6.8474 -11.32667225390000000000 5 73.0587433112 1.5 6 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 12 0.905000 111 15 6.8347 -13.51815085320000000000 7 73.0635879149 1.5 6 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.75 14 1.074000 111 15 8.2456 -29.94564827100000000000 4 73.0530303503 1.074000 14 8.2456 5.184801791656161e-94 8.448691178248913e-04 3.601450538253891e+09 -9.328526784148040e+01 -3.073210564197018e+00 9.556477454622661e+00
0.75 16 1.073000 111 15 8.2428 -34.33255928800000000000 4 73.0527456994 1.073000 16 8.2428 6.490472026006904e-94 8.716401580892431e-04 3.616310926359054e+09 -9.318772371755470e+01 -3.059662769207334e+00 9.558265763561298e+00
0.75 18 1.073000 111 15 8.2428 -38.72018641140001 4 73.0527456994 1.073000 16 8.2428 6.490472026006904e-94 8.716401580892431e-04 3.616310926359054e+09 -9.318772371755470e+01 -3.059662769207334e+00 9.558265763561298e+00
0.75 20 1.074000 111 15 8.2456 -43.10738207930001 4 73.0530303503 1.074000 14 8.2456 5.184801791656161e-94 8.448691178248913e-04 3.601450538253891e+09 -9.328526784148040e+01 -3.073210564197018e+00 9.556477454622661e+00
